review,label
"Depression: ""I have taken anti-depressants for years, with some improvement but mostly moderate to severe side affects, which makes me go off them.

I only take Cymbalta now mostly for pain.

When I began Deplin, I noticed a major improvement overnight. More energy, better disposition, and no sinking to the low lows of major depression. I have been taking it for about 3 months now and feel like a normal person for the first time ever. Best thing, no side effects.""",positive
"Pain: ""I am 30 years old. I had a multiple composite spinal injuries 15 years ago. The aches and pains unbearable. I started taking anti-inflammatories about 2 years ago. I started getting injections every month of Toradol and &quot;Depo&quot; something. I am almost off all pain meds I mean I still have bad days but I can function again.""",positive
"Pain: ""I love my Butrans patch!!! And it has relieved more than half of my pain, and I know this because I only have to take less than half of my pain killers now that I am on the patch! I change my patch every Saturday, but if I miss 24 hours my pain starts to reside again. If you are not a heavy drinker I would advise trying this patch!!!""",positive
"Depression: ""This medicine saved my life. I was at my wits end with anti-depressants and was ready to give up. My doctor finally prescribed me this after many failed medications, I am so glad she did. I honestly do not know where I would be without Effexor XR. Side effects were very mild compared to other anti-depressants I tried. I was drowsy for the first couple days, but it was tolerable. I highly recommend this for severe depression. I would also like to mention for people to realize there is light at the end of the tunnel and YOU WILL GET BETTER, and to never give up.""",positive
"Anxiety: ""I have been suffering with this anxiety problem for years and it was starting to interfere with my life.  I am a confident person socially, but my fear of presentations was huge and I would my voice would tremble to the extent where it sounded like I was full on crying. I researched medication for this fear and found propanolol. My doctor prescribed me with 80mg Half Inderal (Propanolol) and despite what some say, he was not hesitant about giving me a prescription and said he regularly gives it to musicians/public speakers etc. It has worked wonders for me, I no longer embarrass my self and now feel happy and confident. You may still feel nervy, but the adrenaline does not kick in. I have not suffered any symptoms and only take it seldomly.""",positive
"Depression: ""This medication is amazing! After 3 days of being extremely sick, I started to feel amazing, I am now 1 month into it and am so happy all the time and have no depressive thoughts at all. It kind of blocks out any sad thoughts. Works perfectly for me.""",positive
"Depression: ""My genius psychiatrist started me on this drug in the fall of 2008.  The first few weeks I felt even worse than before I had started taking the fluoxetine.  After many months on the drug I was eventually taking 400mg a day, and having manic thoughts &amp; episodes.  My psychiatrist decided I was bi-polar and then started me on seroquel (rather than give me a break for my nervous system to re-adjust to it&#039;s natural state), which I also ended up taking for about 6 months and at about the same dose.  In retrospect I wish I hadn&#039;t taken either fluoxetine(Prozac) or seroquel(Quetiapine).""",negative
"Pain: ""Had open heart surgery and double mastectomy in a span of 2 years. Very painful nerve pain most of the time. Bio- Freeze (Roll- On) Definitely works for the pain. Unfortunately it has literally burned my chest. Don&#039;t want anyone to go through this.Thank you, Be well everyone.""",negative
"Depression: ""F/26, Wellbutrin SR 100mg twice a day &amp; I feel so much better. I&#039;ve tried many different SS/SNRIs over the past 12 years &amp; they all made me have extreme suicidal thoughts. I had kind of given up hope on finding something that worked for me, but then a new psychiatrist recommended trying Wellbutrin. The first week or so was rough, I had blurry vision, shakes, &amp; extreme light sensitivity. Those negative side effects went away after 3 weeks. I&#039;m 3 months in &amp; my mood has significantly increased, which is just amazing because my depression worsens significantly in the winter. I feel optimistic for the future, my sex drive is better, I have more energy &amp; am more focused (I have fibromyalgia as well so this is huge for me), and I&#039;ve quit smoking!""",positive
"Anxiety: ""Changed my life completely, I can actually function in social settings.""",positive
"Depression: ""I have had severe depression since my teens and have been on antidepressants for many years. Fortunately I have had beneficial effects from several over the years.  The most effective treatment to date has been a combination of Wellbutrin and Cymbalta. I took that combination for ten+ years and unfortunately I recently started slipping downward, increased depression and feeling out of control.  I  was prescribed Fetzima (transitioned off Cymbalta) and completed the starter pack with the only benefit being increased energy. My Dr then increased the doseage to 80mg and have been at 80mg for two + weeks.  I have never felt (for lack of a better word) so crazy in my life! I have been so irretiable, angry, depressed and unreasonable and feeling""",negative
"Anxiety: ""Day 2. Taking for major anxiety/ slight depression. 10mg daily. Anxiety is lifting and feel much more in control and calm. Only side symptom is a slight wheezy/ tired feeling. I took it last night about 9pm and was asleep by 11pm. First time in a year that a fell asleep without racing thoughts and worries.""",positive
"Pain: ""This worked great for my back pain and is non-narcotic so I don&#039;t feel woozy.""",positive
"Pain: ""I LOVE Celebrex!  I have degenerative disk disease, bulged disk and degenerative hips.  My doctor had me try it after learning how I can tolerate 6 ibupropen a day.  I have been 85% better as far as the daily pain.  I can do things in exercise that I could not before, due to the pain.  I take homeopathic anti inflammatory supplements as well.  I am a 43 year old photographer, pilates student and teacher living in pain for over 6 years.  So wonderful to have this relief.""",positive
"Anxiety: ""Prescribed via a Psychiatrist for severe Panic attacks for 2 years.
If I take dosage late or forget to take it the withdrawal symptoms kick in.  
Gnawing physical pain, breathlessness, disorientation to time, difficulties in word finding while speaking, severe muscle pain and stiffness, nausea, labile emotions and panic.

""",negative
"Anxiety: ""Suffered from anxiety and depression for 3 months with over 20 side effects. Took citalopram and Prozac but both only worsened my side effects. Finally doctor gave me mirtazapine and almost overnight I seemed to improve. Had my first full sleep in 3 months and felt like eating again. Slowly over the course of 1 week all side effects left me and within 2 weeks I was more or less off the medicine. 3 months later I lead my old life again. If you suffer from sleep and have lost your appetite due to anxiety give this a go. Good luck""",positive
"Anxiety: ""I&#039;ve been tormented by anxiety since childhood. I am 24 years old and have been through a lot in my life. I&#039;ve been diagnosed with depression, bipolar disorder and anxiety, panic attacks, ADD. I&#039;ve been medicated most my life as well. My anxiety got so bad in high school that I had to be home schooled. I wake up in the morning feeling like my heart will explode for no apparent reason. I get intense irrational fear and intense impulses to harm myself because I just can&#039;t take it and get frustrated I start throwing and breaking things I can&#039;t stand to be alone a lot of the time. Xanax works fast and calms me down without knocking me out. Depending on the severity of my attacks I take up to 2 mg. No less than 0.5-1mg.""",positive
"Depression: ""Worked for 2 weeks then stopped.""",negative
"Depression: ""This medication is brilliant.  Completely got rid of my depression and social phobia. I take 75mg/day.  The SSRI&#039;s didn&#039;t really work.  Was laying on the bed all day thinking of suicide and death.  After I started Nardil my life completely changed.  Thank goodness for the medication.""",positive
"Depression: ""I was very very bad at one point with my anxieyy and depression and the OCD, they were all working together against me, the horrible disgusting thoughts from the OCD was driving me into constant panic attacks and anxiety through the roof! Which drove me to stay in doors and avoid triggers which then pushed me into a deep deep depression, I&#039;ve been on zoloft now for about 6 months on a low dose of of 50mg, and I feel much better! I was able to go out and get a job which I am excelling at and got three raises in 4 months! I have felt a bit of the anxiety and ocd poking out once in a while but I may need to raise the dose but over all this med had changed my life so far, if you are in a rut and are down don&#039;t give up you can regain your life back!""",positive
"Anxiety: ""This medicine was an extremely horrible experience for me. My doctor prescribed it to me for anxiety and day one sent me off the edge. How I felt during anxiety attacks was how this medication made me feel but fifty times worse. I felt like I drank a million milligrams of coffee and was on pins and needles for 8 hours. After reading these reviews I hate that it didn&#039;t have the same affect on me as it did the majority. I hate anxiety but I can&#039;t see myself taking another one of those pills EVER.""",negative
"Depression: ""I take trazodone to help balance the effects Cymbalta had on my sleep and to help with my depression. My experience has been wonderful, helps me fall asleep and sleep restfully. Together with Cymbalta, Trazodone has completely eradicated my depression.""",positive
"Anxiety: ""I have taken this medicine for 7 years. Gained lots of weight, now on Weight Watchers Diet and lost 16lbs so far.  Very happy now. At 45mg had bad restless legs, reduced to 30mg and sleep great 9 or 10 hours. Had intolerable insomnia my entire life before.  Wonder what would happen if reduced it to 15 mg. Also added 20 mg Prozac for daytime energy and works great.""",positive
"Pain: ""I also have knee pain, shoulder pain, elbow and hand and finger pain.  Norco seems to work best on the knee pain.""",positive
"Depression: ""Methylphenidate has changed my life.  My depression is almost nonexistent now.  I have also stopped dwelling on problems.  I take 54 mg methylphenidate xr, along with 225 mg effexor xr.""",positive
"Depression: ""I am a 35 year-old female. I&#039;ve always been a melancholic person (given my family history of anxiety and anger issues) but when I was younger, I have been able to experience some happiness. As I got older and had two kids, it got worse. I would get angry or sad at a drop of a hat, after which I would sink into depression. It also became more difficult to manage stress and anxiety. I began seeing a therapist who suggested that I get a physical with my primary care physician and ask if I can get a prescription for anti-depressants. I was put on 10 mg. of Lexapro. During the first few days, I was light-headed, groggy, and aware of every sensation in my body. I was also very thirsty. After a week, I felt the benefits. I feel happy again.""",positive
"Anxiety: ""I have been self medicating for years with tramadol. I suffer from anxiety, panic attacks, and depression. I was taking way to much tramadol to cope with life and was spending money I didn&#039;t have to buy it! It&#039;s a miracle that this drug works so great! I was at the point where all I did was sleep and dodge all things social! I&#039;m only on day 3 and I already feel the pre depression me returning! Oh, I also take vistaril when the panic and anxiery really hits! I&#039;ve only taken my 10 mg Lexapro and one 25 mg Vistiral this morning and I feel great! It doesn&#039;t give me the euphoric feeling that tram does but this is so much better! I almost feel normal! If I feel this great already I can only imagine how much better it&#039;ll get!""",positive
"Anxiety: ""Many people are unreasonably scared of Klonopin&#039;s bad withdrawal dramas.
Well... It is true. It is a painful process to get away from Klonopin once you stepped into its comfortable zone, but I want to say I would rather feel relaxed and comfortable than struggling with unnecessary anxiety caused by Neurotransmitter unbalances. 
This medication truly gave me a freedom from fear and agitation and get back to my life.""",positive
"Depression: ""I took pristiq for a month, one pill a day,
I&#039;m currently tapering myself off of it now because it has caused the following effects:
Loss of any emotion
Uncontrolable shaking
Inability to feel hungry or full 
&amp;
Inability to feel pain 
I&#039;m 16 and this anti depressant is for 18  but my gp thought it was a good idea to prescribe it for me? I don&#039;t think I&#039;ll ever take another anti depressant again I&#039;d rather feel everything than nothing.""",negative
"Pain: ""This medicine is a joke. They want to take you off Percocet and hydrocodone and put you on this medicine which is supposed to be longer acting. But I&rsquo;d rather take six Percocet 10 mg a day then one of these. They had me on 40 mg for four weeks it didn&rsquo;t help with my pain whatsoever.""",negative
"Depression: ""I have been taking Zoloft for 10  years. I take 100 mg daily. I have found that all of my symptoms have diminished. In times real stress, I take an extra pill. All I can say is that none of the previous drugs I took helped me at all. I have depression and Post Traumatic Stress Disorder. At age 59 I still react to anything that sounds like gunfire. I spent 33 years working for the government, 2 in the Army the rest in law enforcement. I have found that I have no issues to deal with. I did once while out of the country lose my prescription while backpacking. It was horrible for me and my two friends. I take my pill in the evening before bed. No side effects at all. I found Zoloft to be a God send for me.""",positive
"Anxiety: ""It makes any impossible situation more possible, it controls violence rage temper anger towards others. Post Traumatic Stress Disorder, panic attacks and keeps you calm.  The best!""",positive
"Anxiety: ""This is my miracle. I was put on it in Germany and had to go off it until I had insurance again. I suffer from depression and anxiety. Often I would find myself stuck in a daydream world because of all the things going on in my life, including my partner of years (15-25). I would have no energy and just feel so low. Finally I had insurance and was put on 1800mg a day. I feel so much better. I feel like I can handle life and set goals for myself. I don&#039;t feel anxiety. I don&#039;t sit here and think of the negative and focus on a positive life. I am more fun and interactive with my son. 

It literately saved my life. I don&#039;t know why.""",positive
"Pain: ""Fast acting for chronic pain, the ONLY downside is a shorter time period of relief then other pain medications.""",positive
"Anxiety: ""Prescribed via a Psychiatrist for severe Panic attacks for 2 years.
If I take dosage late or forget to take it the withdrawal symptoms kick in.  
Gnawing physical pain, breathlessness, disorientation to time, difficulties in word finding while speaking, severe muscle pain and stiffness, nausea, labile emotions and panic.

""",negative
"Pain: ""I had excruciating lower back pain along with sciatica. Had shot I hip about 4 hrs ago. Pain is almost gone. I still have a little sciatica, but that takes a few days to heal . Dr also prescribed Vicodin but don&#039;t think I will need it tonight. I could barely walk before the dr visit. Now I am much better. No drug works for everyone, but it&#039;s worth a try. Hope you all feel better!""",positive
"Anxiety: ""It is too bad that doctor&#039;s are so freaked out about addictive behavior to the point where they are willing to let people suffer.  Valium in low dose works and this is just junk.  It may work for some but even results using test rats I have seen state they have low results.   I resent it when a person really needs help for acute conditions and they are given this kind of low performing medication.""",negative
"Pain: ""Had my left eye destroyed by a broomstick in a fight.  Doctor gave me percocet!  What a joke, I was still in agony.  And Opana 10 ER did the trick.  """,positive
"Depression: ""This medication was by far the worst antidepressant have taken. The first month I seemed to do very well on it, after a year on it, I hit rock bottom mentally. It caused more terrible symptoms than what was beneficial to me. I had weird brain zaps that left me in bed for days, sleep disturbances, attention seeking behavior, as well as OCD that I had never experienced previously. It took forever to get off this terrible drug and I call it a terrible drug because your brain and body get physically addicted the way a street drug would, you miss 1 day and you start having severe withdrawals, sweats, extreme brain zaps, feeling out of touch w/reality/strange thoughts. After a month of being off Effexor, All of the bad stuff stopped.""",negative
"Pain: ""Whenever I am in pain, this is my go to medication. I have a back, shoulder, neck, and foot injury and by rights should be on this medicine for chronic pain. For right now I only take it very rarely so that it works when needed, to avoid a tolerance. Because I am not working I am able to deal with the pain, however when I go back to work, I will most likely have to go on this medication or a similar one full time. The only thing I do not like is the fact that many of these narcotic pain medications contain tylenol, asperin, or ibuprofin which makes your kidneys, liver and other organs go through unnecessary stresses. I prefer it to be just oxycodone and if I need the synergy of tylenol I can add it on my own.""",positive
"Pain: ""Life is livable again. I have had no side effects. I stay very aware of the possibility for abuse so am very careful. I count my pills throughout the month and have to give a urine sample every couple months at the pain clinic. I have been on the same dose..60 mg every 12 hours for approx. 5 years. I cannot go back to life before I was placed on this medicine. There has been and always will be people who will abuse pain medicines and I can understand why doctors are so afraid to prescribe them but someone has to stand up and treat people like myself so we can get out of bed and face the day.""",positive
"Depression: ""After having a heart attack I became very depressed.  I have been on Lexapro, Zoloft, Xanax, Ativan, Wellbutrin, and Buspar.  None worked and I attempted suicide.  I have Major depession and anxiety disorder, so take my comments in stride.  The right drug for you is out there along with intensive therapy.  I was switched to Effexor XR while in &quot;the funny farm.&quot;  After the typical waiting period for it to kick in, I can tell you I am a new man, looking at life like I used to.  It has saved my life and my family.

It hasn&#039;t done much for anxiety, so for the first few months after my severe &quot;episode&quot; I was on Seroquel. I have now been switched to clonazepam for that issue.  Please consult a proper medical person.""",positive
"Pain: ""So I have been on the BuTrans patch 10microgram/hour for the last 5 months I took anti sickness tablets so I had no sick feeling or any side effects at all.  It has been a godsend this patch I&#039;m in no pain  I noticed in 4 days...I&#039;m from Ireland I fell and fractured my back in 5 places I was in severe pain with my back and spasms which left me sleeping in a chair for 3 months. Since I came on the patch I&#039;m back in my bed so this patch is the best ever in my opinion anyways hope this helps some one I&#039;m a 25 year old girl from Ireland """,positive
"Depression: ""I take cymbalta for depression and anxiety. I&#039;ve read a few comments on here and it sounds like a few people may have or had serotonin syndrome. It has happened to me in the past when a prior doct didn&#039;t pay attention to my meds. Please be safe. Cymbalta has helped me a lot. I went off for about 3 yrs and have had to go back on.""",positive
"Depression: ""I LOVED Cymbalta, I felt wonderful, no aches and pains, no depression, I had my life back. I was paying $90 for a 3 month supply... THEN it happened, my co-pay went to $1000 for a 3 month supply! I want to cry, I obviously can&#039;t afford that so I got switched to Venlafaxine, I now have a constant slight headache and it makes me nauseous, my anxiety is back. Dr. switched me to Prozac yesterday, we shall see but what I would not give to have my Cymbalta back.""",positive
"Depression: ""I was prescribed Rexulti when my daily depression meds began to no longer work for me. It started working almost instantly I have been on Rexulti along with my daily meds, and I have been feeling better then ever.""",positive
"Depression: ""I&#039;ve been on Zoloft for 3 months now. Initially, I suffered from side effects such as shivering, loss of appetite, drowsiness, and insomnia. These symptoms lasted for about three days. I was scared at first and planned on trying another medication for anxiety. However, I called my cousin who is a nurse and she told me to try cutting the pill in half. I took my cousins advice and cut the pill in half, taking only 25mg a day which works really well for me.I&#039;m 5&#039;4, 130lbs. I no longer suffer from anxiety, after taking Zoloft that I realized that I was suffering from depression. Zoloft alleviates my anxiety and has greatly helped with my depression, I now feel more happy and motivated to do things right away without procrastinating. Life changer!""",positive
"Pain: ""I&#039;m allergic to morphine, Demerol, and several other pain medications. I took Toradol for severe neck and shoulder pain. It worked. I had a little upset stomach but took an antacid, and it went away. It worked better for me, because of me being allergic to other pain medications. It also worked wonders after surgery. It should not be taken for more than 5 days, and use caution if you have kidney or liver disease. Use caution if you are using a blood thinner. It also did not make we drowsy, fast heart rate, or dizzy.""",positive
"Anxiety: ""This medication gave me the worst experience of my life. It made me sleepy, yes. But at the same time, It sped up my mental discomfort, and it made my muscles jump. Similar to restless leg syndrome, but throughout my entire body. It was so bad they had to reverse it with Benadryl to alleviate the symptoms, And finally they gave me a mixture of Valium and Demerol to put me in a twilight state until it passed. If you have ANY medication allergies, even mild. I would strongly advise against this medication. 
""",negative
"Pain: ""I have spinal stenosis in 2 levels of my lumbar spine and 3 bulging/protruding discs. I could hardly sit or walk for months. I was hoping for surgery just to ease the pain. I couldn&#039;t drive for longer than 15 minutes, couldn&#039;t exercise like I used to, could hardly work. My doctor put me on Cymbalta 2 weeks ago and within 10 days, almost all my pain is gone! I still have some numbness in my lower leg and foot but I am no longer taking Percocet and am weaning off the morphine for night time! Cymbalta gave me back my life! I hope it continues! Thank you for this wonderful medicine!""",positive
"Pain: ""I started methadone a few days ago and oh my gosh have I been amazed!  I have felt better in the last few days more than I have in the last couple of years!!  I have chronic pain and been on almost all the other opiates.  I fell into the opiate addiction myself.  I think methadone is a God send!!  I would suggest methadone to anyone batttling chronic pain issues.""",positive
"Anxiety: ""Was prescribed for anxiety, and instead it threw me into the worst full blown panic attack I have ever had.!   Totally out of my mind!""",negative
"Pain: ""I used this medication years ago for my migraines.  Since that time, my husband has joined the Army and we have moved several times, etc.  Each time we do, I have to start all over again with my migraine treatments (I have hemi-palegic migraines) and I would give my eye-teeth for one of these doctors to just let me take Stadol NS again!  It worked so well mainly because even when I was nauseated, I would still &quot;keep&quot; this medication because it was in the nasal spray form.  This medicine was a wonder drug for me... oh how I wish it could be again.""",positive
"Depression: ""I&#039;m on 200 mg of Zoloft and it has changed my life!""",positive
"Depression: ""Depression has got worse causing me to miss work. Have been on 20 different antidepressants over 7 years. Pristiq didn&#039;t help at all for me, headaches, foggy and nausea. Also shaky at times.""",negative
